Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
16,18848.178,476,1053,365071,week16_A07_cluster_1
