Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
24,7879.254,189,338,467011,week24_C01_cluster_1
