Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
8,8541.744,177,486,268011,week8_D01_cluster_1
