Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
24,8828.923,241,403,469091,week24_E09_cluster_1
