Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
8,19595.012,433,1082,267011,week8_C01_cluster_1
