Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
8,22939.86,589,1197,271041,week8_G04_cluster_1
